"name","party","screen_name","class"
"colaninno matteo","iv",NA,"D"
"colla jari","lega","JariColla","D"
"colletti andrea","m5s","AndCol81","D"
"colmellere angela","lega",NA,"D"
"colucci alessandro","m-03",NA,"D"
"comaroli silvana andreina","lega",NA,"D"
"comencini vito","lega","ComenciniVito","D"
"cominardi claudio","m5s","cla_cominardi","D"
"conte federico","leu",NA,"D"
"corda emanuela","m5s","Emanuela_Corda","D"
"corneli valentina","m5s","UnaValeUno","D"
"cortelazzo piergiorgio","fi","pcortelazzo","D"
"costa enrico","fi","ECofficialmusic","D"
"costanzo jessica","m5s","JCostanzo_M5S","D"
"covolo silvia","lega",NA,"D"
"crippa andrea","lega",NA,"D"
"crippa davide","m5s","crippa5stelle","D"
"cristina mirella","fi","mire_cris","D"
"critelli francesco","pd",NA,"D"
"cubeddu sebastiano","m5s",NA,"D"
"cunial sara","m-02",NA,"D"
"curro' giovanni","m5s","Giova_Curro","D"
"dadone fabiana","m5s","DadoneFabiana","D"
"daga federica","m5s","FedericaDaga","D"
"d'alessandro camillo","iv","DalessandroCam","D"
"dall'osso matteo","fi","matteodallosso","D"
"dal moro gian pietro","pd",NA,"D"
"d'ambrosio giuseppe","m5s","GiuseppeDAmbro1","D"
"dara andrea","lega",NA,"D"
"d'arrando celeste","m5s","CeledarrandoM5S","D"
"d'attis mauro","fi","MauroDattis","D"
"de angelis sara","lega",NA,"D"
"de carlo luca","fdi","decarlosindaco","D"
"de carlo sabrina","m5s","sabrina_decarlo","D"
"de filippo vito","iv","Vito_DeFilippo","D"
"de giorgi rosalba","m5s",NA,"D"
"de girolamo carlo ugo","m5s",NA,"D"
"deiana paola","m5s","Paola_Deiana","D"
"deidda salvatore","fdi","deidda","D"
"del barba mauro","iv","emmedibi","D"
"del basso de caro umberto","pd",NA,"D"
"del grosso daniele","m5s","DgPilot81","D"
"della frera guido","fi","GFrera","D"
"delmastro delle vedove andrea","fdi",NA,"D"
"del monaco antonio","m5s","delmonaco12","D"
"de lorenzis diego","m5s","DiegoDeLorenzis","D"
"de lorenzo rina","m5s",NA,"D"
"del re emanuela claudia","m5s",NA,"D"
"delrio graziano","pd","graziano_delrio","D"
"del sesto margherita","m5s","MargheritaDelSe","D"
"de luca piero","pd","Piero_De_Luca","D"
"de maria andrea","pd","andreademaria_","D"
"de martini guido","lega","GuidoDeMartini","D"
"de menech roger","pd","RogerDeMenech","D"
"de micheli paola","pd","paola_demicheli","D"
"d'eramo luigi","lega","Luigi_DEramo","D"
"de toma massimiliano","m-02","Massimi28169820","D"
"d'ettore felice maurizio","fi",NA,"D"
"dieni federica","m5s","federicadieni","D"
"di giorgi rosa maria","pd","RosaMDiGiorgi","D"
"di lauro carmen","m5s","Carmen_DiLa","D"
"di maio luigi","m5s","luigidimaio","D"
"di maio marco","iv","marcodimaio","D"
"di muro flavio","lega",NA,"D"
"d'inca' federico","m5s","FedericoDinca","D"
"d'ippolito giuseppe","m5s","pinodippo","D"
"di san martino lorenzato di ivrea luis roberto","lega",NA,"D"
