"name","party","class","screen_name"
"granato bianca laura","m5s","S","BLGranatoM5S"
"grassi ugo","m5s","S",NA
"grasso pietro","misto","S","PietroGrasso"
"grimani leonardo","pd","S","grimani72"
"guidolin barbara","m5s","S","GuidolinBarbara"
"iannone antonio","fdi","S","AntonioIannone"
"iori vanna","pd","S","vannaio"
"iwobi tony chike","lega","S",NA
"l'abbate patty","m5s","S","Patty_LAbbate"
"laforgia francesco","misto","S","fralaforgia"
"la mura virginia","m5s","S","virginialamura"
"laniece albert","aut (svp-patt; uv)","S","albertlaniece"
"lannutti elio","m5s","S","ElioLannutti"
"lanzi gabriele","m5s","S","gablanzi"
"la pietra patrizio giacomo","fdi","S",NA
"la russa ignazio","fdi","S","Ignazio_LaRussa"
"laus mauro antonio donato","pd","S",NA
"leone cinzia","m5s","S",NA
"lezzi barbara","m5s","S",NA
"licheri ettore antonio","m5s","S",NA
"lomuti arnaldo","m5s","S","LomutiArnaldo"
"lonardo alessandrina","fi","S",NA
"lorefice pietro","m5s","S",NA
"lucidi stefano","m5s","S","sfnlcd"
"lupo giulia","m5s","S","GiuliaLupo2"
"maffoni gianpietro","fdi","S","GianpietroMaffo"
"magoni lara","fdi","S","LaraMagoni"
"magorno ernesto","pd","S","Emagorno"
"maiorino alessandra","m5s","S","MaiorinoM5S"
"malan lucio","fi","S","LucioMalan"
"mallegni massimo","fi","S","MassimoMallegni"
"malpezzi simona flavia","pd","S","SimonaMalpezzi"
"manca daniele","pd","S","Daniele_Manca"
"mangialavori giuseppe tommaso vincenzo","fi","S",NA
"mantero matteo","m5s","S","ManteroM5S"
"mantovani maria laura","m5s","S","mantolalla"
"marcucci andrea","pd","S","AndreaMarcucci"
"margiotta salvatore","pd","S","s_margiotta"
"marilotti gianni","m5s","S","GianniMarilotti"
"marin raffaella fiormaria","lega","S",NA
"marinello gaspare antonio","m5s","S",NA
"marino mauro maria","pd","S","mauro_m_marino"
"marsilio marco","fdi","S","marcomarsilio"
"martelli carlo","misto","S","Carlo_Martelli"
"marti roberto","lega","S","RobertoMarti74"
"masini barbara","fi","S","BarbaraMasini_"
"matrisciano susy","m5s","S","MatriscianoSusy"
"mautone raffaele","m5s","S",NA
"merlo ricardo antonio","misto","S","RicardoMerlo5"
"messina alfredo","fi","S",NA
"messina assuntela","pd","S",NA
"mininno cataldo","m5s","S","DinoMininno"
"minuto anna carmela","fi","S",NA
"mirabelli franco","pd","S","FraMirabelli"
"misiani antonio","pd","S","antoniomisiani"
"modena fiammetta","fi","S","FiammettaModena"
"moles giuseppe","fi","S","giusmoles"
"mollame francesco","m5s","S","FMollame"
"montani enrico","lega","S","MontaniEnrico"
"montevecchi michela","m5s","S","m_montevecchi"
"monti mario","misto","S","SenatoreMonti"
"moronese vilma","m5s","S","vilmamoronese"
"morra nicola","m5s","S","NicolaMorra63"
"nannicini tommaso","pd","S","TNannicini"
"napolitano giorgio","aut (svp-patt; uv)","S","ReGiorgio_Primo"
"nastri gaetano","fdi","S",NA
"naturale gisella","m5s","S","GisellaNaturale"
"nencini riccardo","misto","S","NenciniPsi"
"nisini tiziana","lega","S","TizianaNisini"
"nocerino simona nunzia","m5s","S",NA
"nugnes paola","m5s","S","paolanugnes"
"ortis fabrizio","m5s","S","fabrizioortis"
"ortolani franco","m5s","S","Francortolani"
"ostellari andrea","lega","S","AndreaOstellari"
"pacifico marinella","m5s","S","mrnllpacifico"
"pagano nazario","fi","S","NazarioPagano"
"papatheu urania giulia rosina","fi","S",NA
"paragone gianluigi","m5s","S","gparagone"
"parente annamaria","pd","S","Am_Parente"
"paroli adriano","fi","S","paroli_adriano"
"parrini dario","pd","S","DarioParrini"
"patriarca edoardo","pd","S","edopatriarca"
"patuanelli stefano","m5s","S","SPatuanelli"
"pazzaglini giuliano","lega","S","giulipaz68"
"pellegrini emanuele","lega","S",NA
"pellegrini marco","m5s","S","MPellegrini_m5s"
"pepe pasquale","lega","S","PepePasquale1"
"pergreffi simona","lega","S","simonapergreffi"
"perilli gianluca","m5s","S","PerilliM5Senato"
"perosino marco","fi","S","marco_perosino"
"pesco daniele","m5s","S","DanielePesco"
"petrocelli vito rosario","m5s","S",NA
"pianasso cesare","lega","S",NA
"piano renzo","independent","S","RPBWARCHITECTS"
"piarulli angela anna bruna","m5s","S",NA
